iteration,scaling_factors,train_score
20,"[0.97604286 0.96943112 0.99835415 0.99969164 1.05062322 0.99500681
 1.01877978 1.00257234 0.96517324 0.95334182 1.02844984 1.01710571
 0.99666105 0.97287584 1.03157463 1.01669633 0.94581173 1.01729446
 1.03127737 1.0053351  0.99826044 0.99774028 1.02612103 0.99900914
 0.97789156 1.0098219  0.97227504 0.98758912 0.98159186 1.02079096
 0.97700112 1.02417475 0.98704296 0.9678868  0.94398581 0.98031811
 1.05050756 0.99892094 0.99118465 1.01962359 0.98719118 1.00173325
 1.00234598 1.05612191 0.99165795 0.99108504 1.02677597 0.96649262]",-0.05238890939277896
21,"[0.97190377 0.96971406 0.98880826 1.00430464 1.05074061 0.9975694
 1.02673025 1.00602442 0.95830092 0.95166689 1.0265693  1.02709444
 0.99393716 0.97538183 1.02680999 1.02352408 0.94147316 1.02159499
 1.02430386 0.99899482 1.00395053 1.00731126 1.03506551 1.00274985
 0.97242625 1.01924563 0.96692204 0.99171253 0.98735564 1.02031674
 0.98122681 1.02303335 0.98369909 0.95851655 0.95263534 0.97852806
 1.05933347 0.98981986 0.98377632 1.02927257 0.99350765 0.99210873
 0.99688758 1.05313224 0.99521486 0.99387064 1.02775154 0.97190492]",-0.015611123487291101
22,"[0.98056166 0.97570395 0.9906347  1.00544773 1.05109553 0.99064287
 1.02238049 1.00346199 0.96319872 0.95646755 1.02601322 1.02596262
 0.9888711  0.97299192 1.02718455 1.01482323 0.93310066 1.02997352
 1.02104241 0.99328151 0.99958068 1.01467208 1.02667404 1.00778559
 0.96668891 1.01321626 0.97602446 0.99976429 0.99063154 1.02600992
 0.98857163 1.01391831 0.98839378 0.96749984 0.95506205 0.98630926
 1.06099686 0.99301263 0.98141109 1.0215378  1.00148812 0.98700865
 1.00239169 1.05637717 1.00087489 1.0016957  1.03172887 0.97635203]",-0.03790345071299561
23,"[0.98775528 0.982005   0.98907875 1.00387554 1.04412056 0.98747025
 1.02784008 1.01153215 0.9587085  0.96123228 1.02933434 1.0314316
 0.99691612 0.97684233 1.03709788 1.01959484 0.93018762 1.03323315
 1.02886269 0.99465778 0.99387977 1.00949863 1.02352288 1.00752546
 0.9671072  1.00540677 0.98324919 0.99764562 0.98189443 1.02239316
 0.98728623 1.0184648  0.99324045 0.96463147 0.96303047 0.98481688
 1.06700882 0.98586743 0.97919912 1.01701476 0.99293281 0.9944779
 0.99525752 1.06541328 0.9972661  1.00076329 1.04129956 0.97454563]",-0.02936128000263305
24,"[0.97827624 0.98239598 0.9834988  1.00571001 1.0533946  0.98263246
 1.02514941 1.01120198 0.95412238 0.95979532 1.03635729 1.03135866
 1.00105807 0.97718034 1.0373663  1.02205525 0.93395519 1.03687738
 1.02583221 0.99699636 0.99517607 1.01390463 1.02218064 1.00953263
 0.97429731 1.0043143  0.97776247 0.99908138 0.98116623 1.02891351
 0.98887266 1.0214422  0.98597667 0.95796556 0.96935931 0.99069951
 1.062556   0.97693361 0.97830218 1.01452015 0.99489076 1.00425225
 0.99344025 1.05795903 1.00145723 1.00973    1.03723464 0.9768786 ]",-0.02391849648745481
25,"[0.97549462 0.97676135 0.99319727 1.00195792 1.06035873 0.98569773
 1.02743156 1.01692342 0.94803419 0.96437037 1.02989976 1.03864827
 0.99206069 0.97041824 1.03951305 1.02110649 0.92410509 1.03196218
 1.02276853 1.00069691 0.9892997  1.01282933 1.02686698 1.00775234
 0.98239425 1.01389275 0.98000945 1.00054603 0.97848006 1.02198069
 0.98031067 1.01272453 0.98576699 0.94999871 0.96404682 0.98540641
 1.05399111 0.9709056  0.9848301  1.00935132 0.98725982 0.9947655
 0.98960344 1.06382521 1.00072643 1.00528358 1.0359795  0.98213918]",-0.0316919201008341
26,"[0.96983083 0.97302269 0.99914458 1.00351047 1.06742905 0.98877699
 1.02696497 1.01263935 0.93942958 0.95653739 1.03576698 1.04255237
 0.99465242 0.97556014 1.04389949 1.01888502 0.92587533 1.02761913
 1.03181996 1.00738121 0.99802347 1.01189425 1.02166857 1.01564066
 0.98433621 1.02242402 0.9865363  1.00305949 0.97508045 1.01384113
 0.98861851 1.01910772 0.97656582 0.94972287 0.95915231 0.99152883
 1.05141315 0.96793753 0.99333445 1.00941496 0.99383751 1.00177797
 0.98339128 1.0654668  0.99903138 1.01181874 1.04126294 0.9723903 ]",-0.028987196409980376
27,"[0.97950002 0.98048543 0.99932269 1.00452094 1.06878865 0.99217137
 1.01911717 1.01263066 0.93868268 0.96505004 1.03098358 1.03465671
 1.00374234 0.98411988 1.05007812 1.01924892 0.92271939 1.02553545
 1.03554266 0.99741111 0.99727477 1.00291333 1.0296406  1.01876572
 0.97750159 1.02546588 0.99467054 1.00356864 0.97550528 1.02071649
 0.99565675 1.01139426 0.96962201 0.95410225 0.95460714 0.99267083
 1.06093172 0.96874659 1.00015284 1.00003426 0.98719533 1.007096
 0.97621352 1.07403386 0.99332479 1.01126563 1.03574076 0.96689087]",-0.027269945340430368
28,"[0.97195571 0.97908702 0.99176544 1.00645583 1.07800935 1.00027231
 1.01115778 1.0040319  0.94099012 0.95675737 1.03497745 1.03048345
 0.99553082 0.98257788 1.05637744 1.02336489 0.92896247 1.02247223
 1.03321601 1.00273297 1.00623608 0.99467045 1.01999697 1.02448493
 0.97816638 1.0314534  1.0017625  1.00274346 0.98121492 1.02749619
 0.99175774 1.01587132 0.97948511 0.95176704 0.9580124  0.99058141
 1.06490798 0.96586101 0.99265894 1.00089872 0.98515182 1.00758109
 0.97688747 1.08360421 0.98897954 1.00884326 1.04567006 0.9618306 ]",0.028335526863570548
29,"[0.98078673 0.98076705 0.99587843 0.99829154 1.07583404 0.9996102
 1.00386255 0.99476402 0.94314392 0.96410634 1.0352526  1.03956857
 1.00311558 0.9805751  1.05704114 1.02453637 0.92543271 1.0207181
 1.03290742 1.00059936 1.00129943 0.98670662 1.01877084 1.01795785
 0.97079716 1.02441936 1.0083817  1.00819331 0.97316832 1.02168108
 0.99738722 1.02216611 0.98172064 0.96119798 0.95066245 0.99589071
 1.05704407 0.96099762 0.98354384 1.00016805 0.99373058 1.01618196
 0.96774841 1.08550061 0.99775769 1.00584473 1.04562772 0.95830483]",0.009269883004536128
30,"[0.98268622 0.978207   1.00492514 0.99626252 1.07072386 0.99735333
 0.99566196 0.99954712 0.95160797 0.96900683 1.02760611 1.04432631
 1.00009014 0.99042552 1.06052164 1.03312787 0.91941218 1.02809335
 1.03968378 0.99434702 1.00425483 0.99265175 1.02870549 1.02366695
 0.97396533 1.02309347 1.01603822 1.01781228 0.96651768 1.03006364
 0.99332508 1.02092271 0.98591463 0.9529314  0.94310287 1.00418853
 1.06156475 0.96923871 0.98770835 1.00044382 0.99199963 1.01296271
 0.97694627 1.08891831 1.00718036 1.00796741 1.0437794  0.9676415 ]",-0.06587080219841357
